Name,Gender,Birth Year,Nationality,Mission Count,Mission Role,Mission Year,Mission Name,Mission Duration
"Morin, Lee M.",male,1952,U.S.,1,MSP,2002,STS-110,259.0
"Vittori, Roverto",male,1964,Italy,3,flight engineer,2002,Soyuz TMA-34/TM-33,237.0
"Vittori, Roverto",male,1964,Italy,3,flight engineer,2005,Soyuz TMA-6/TMA-5,237.0
"Vittori, Roverto",male,1964,Italy,3,MSP,2011,STS-134,377.65
"Shuttleworth, M. Richard",male,1973,Republic of South Africa,1,Other (Space tourist),2002,Soyuz TM-34 / Soyuz TM-33,237.0
"Lockhart, Paul S.",male,1956,U.S.,2,pilot,2002,STS-111,332.0
"Lockhart, Paul S.",male,1956,U.S.,2,pilot,2002,STS-113,330.0
"Perrin, Philippe",male,1963,France,1,MSP,2002,STS-111,332.58
"Whitson, Peggy A.",female,1960,U.S.,3,MSP,2002,5,4438.0
"Whitson, Peggy A.",female,1960,U.S.,3,flight engineer,2008,16,4603.0
"Whitson, Peggy A.",female,1960,U.S.,3,flight engineer,2016,50,6941.0
"Treshchov, Sergei",male,1958,U.S.S.R/Russia,1,flight engineer,2002,5,4438.0
"Magnus, Sandra H.",female,1964,U.S.,3,MSP,2002,STS-112,260.0
"Magnus, Sandra H.",female,1964,U.S.,3,MSP,2008,18,3210.0
"Magnus, Sandra H.",female,1964,U.S.,3,MSP,2011,STS-135,306.0
"Sellers, Piers J.",male,1955,U.K./U.S.,3,MSP,2002,STS-112,259.0
"Sellers, Piers J.",male,1955,U.K./U.S.,3,MSP,2006,STS-121,306.0
"Sellers, Piers J.",male,1955,U.K./U.S.,3,MSP,2010,STS-132,282.5
"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,5,MSP,2002,STS112,259.0
"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,5,flight engineer,2007,15,4721.0
"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,5,commander,2010,24,3919.0
"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,5,commander,2013,36,3990.0
"Yurchikhin, Fyodor",male,1959,U.S.S.R/Russia,5,commander,2017,51,3258.0
"De Winne, Frank",male,1961,Belgium,2,commander,2002,Soyuz TMA-1/TM-34,261.0
"De Winne, Frank",male,1961,Belgium,2,commander,2009,20,4508.6
"Herrington, John B.",male,1958,U.S.,1,MSP,2002,STS-113,330.0
"Pettit, Donald R.",male,1955,U.S.,3,flight engineer,2002,6,3865.0
"Pettit, Donald R.",male,1955,U.S.,3,MSP,2008,STS-126,380.5
"Pettit, Donald R.",male,1955,U.S.,3,flight engineer,2011,30,4627.0
"McCool, William C.",male,1961,U.S.,1,pilot,2003,STS-107,382.0
"Brown, David M.",male,1956,U.S.,1,MSP,2003,STS-107,382.0
"Clark, Laurel B.",female,1961,U.S.,1,MSP,2003,STS-107,382.0
"Ramon, Ilan",male,1954,Israel,1,PSP,2003,STS-107,382.33
"Yang, Liwei",male,1965,China,1,commander,2005,Shenzhou 5,21.0
"Fincke, E. Michael",male,1967,U.S.,3,flight engineer,2004,9,4501.0
"Fincke, E. Michael",male,1967,U.S.,3,commander,2009,18,4280.0
"Fincke, E. Michael",male,1967,U.S.,3,MSP,2011,STS-134,378.0
"Kuipers, Andre",male,1958,Netherland,2,flight engineer,2004,Soyuz TMA-4/TMA-3,261.0
"Kuipers, Andre",male,1958,Netherland,2,flight engineer,2012,30,4627.0
"Shargin, Yuri",male,1960,U.S.S.R/Russia,1,flight engineer,2004,Soyuz TMA5,237.0
"Noguchi, Soichi",male,1965,Japan,2,MSP,2005,STS-114,333.55
"Noguchi, Soichi",male,1965,Japan,2,flight engineer,2009,22,3917.55
"Camarda, Charles J.",male,1952,U.S.,1,MSP,2005,STS-114,333.0
"Fei, Junlong",male,1966,China,1,commander,2005,Shenzhou 6,115.0
Nie Haisheng,male,1964,China,2,flight engineer,2005,Shenzhou 6,116.0
Nie Haisheng,male,1964,China,2,commander,2008,Shenzhou 10,350.0
"Pontes, Marcos Cesar",male,1963,Brazil,1,pilot,2006,Soyuz TMA-8,237.28
"Fossum, Michael E.",male,1957,U.S.,3,MSP,2006,STS-121,307.0
"Fossum, Michael E.",male,1957,U.S.,3,MSP,2008,STS-124,330.0
"Fossum, Michael E.",male,1957,U.S.,3,commander,2011,28,4014.0
"Nowak, Lisa M.",female,1963,U.S.,1,MSP,2006,STS-121,306.0
"Wilson, Stephanie D.",female,1966,U.S.,3,MSP,2006,STS-121,306.0
"Wilson, Stephanie D.",female,1966,U.S.,3,MSP,2007,STS-120,362.0
"Wilson, Stephanie D.",female,1966,U.S.,3,MSP,2010,STS-131,362.0
"Ferguson, Christopher J.",male,1961,U.S.,3,pilot,2006,STS-115,283.0
"Ferguson, Christopher J.",male,1961,U.S.,3,commander,2008,STS-126,380.5
"Ferguson, Christopher J.",male,1961,U.S.,3,commander,2011,STS-135,306.5
"Stefanyshyn-Piper, Heidemarie M.",female,1963,U.S.,2,MSP,2002,STS-115,288.0
"Stefanyshyn-Piper, Heidemarie M.",female,1963,U.S.,2,MSP,2008,STS-126,360.0
"Oefelein, William A.",male,1965,U.S.,1,pilot,2006,STS-116,308.0
"Patrick, Nicholas J. M.",male,1964,U.K./U.S.,2,MSP,2006,STS-116,308.0
"Patrick, Nicholas J. M.",male,1964,U.K./U.S.,2,MSP,2010,STS-130,330.0
Christer Fuglesang,male,1957,Sweden,2,MSP,2006,STS-116,308.73
Christer Fuglesang,male,1957,Sweden,2,MSP,2009,STS-128,332.9
"Higginbotham, Joan E.",female,1964,U.S.,1,MSP,2006,STS-116,308.0
"Williams, Sunita L.",female,1965,U.S.,1,MSP,2006,14,4674.0
"Williams, Sunita L.",female,1965,U.S.,2,flight engineer,2012,32,3048.0
"Kotov, Oleg",male,1965,U.S.S.R/Russia,3,commander,2007,15,4721.0
"Kotov, Oleg",male,1965,U.S.S.R/Russia,3,commander,2009,22,3917.0
"Kotov, Oleg",male,1965,U.S.S.R/Russia,3,commander,2013,37,3990.0
"Archambault, Lee J.",male,1960,U.S.,2,pilot,2007,STS-117,332.0
"Archambault, Lee J.",male,1960,U.S.,2,commander,2009,STS-119,307.5
"Swanson, Steven R.",male,1960,U.S.,3,MSP,2007,STS-117,332.22
"Swanson, Steven R.",male,1960,U.S.,3,MSP,2009,STS-119,307.5
"Swanson, Steven R.",male,1960,U.S.,3,flight engineer,2014,39,4007.13
"Olivas, John D.",male,1965,U.S.,2,MSP,2007,STS-117,332.0
"Olivas, John D.",male,1965,U.S.,2,MSP,2009,STS-128,333.0
"Anderson, Clayton C.",male,1959,U.S.,2,flight engineer,2007,15,3642.0
"Anderson, Clayton C.",male,1959,U.S.,2,MSP,2010,STS-131,363.0
"Caldwell, Tracy E.",female,1969,U.S.,2,MSP,2007,STS-118,306.0
"Caldwell, Tracy E.",female,1969,U.S.,2,flight engineer,2010,23,4220.0
"Drew, Alvin Benjamin",male,1962,U.S.,2,MSP,2007,STS-118,306.0
"Drew, Alvin Benjamin",male,1962,U.S.,2,MSP,2011,STS-133,307.0
"Morgan, Barbara R.",female,1951,U.S.,1,MSP,2007,STS-118,305.0
"Shukor, Sheikh Muszaphar",male,1972,Malysia,1,Other (space tourist),2007,Soyuz TMA-11/10,261.23
"Zamka, George D.",male,1962,U.S.,2,pilot,2007,STS-120,362.0
"Zamka, George D.",male,1962,U.S.,2,commander,2010,STS-130,306.1
"Wheelock, Douglas H.",male,1960,U.S.,2,MSP,2007,STS-120,360.0
"Wheelock, Douglas H.",male,1960,U.S.,2,flight engineer,2010,24,3912.0
"Nespoli, Paolo A.",male,1957,Italy,3,MSP,2007,STS-120,362.4
"Nespoli, Paolo A.",male,1957,Italy,3,flight engineer,2010,26,3823.28
"Nespoli, Paolo A.",male,1957,Italy,3,flight engineer,2017,52,3328.93
"Poindexter, Alan G.",male,1961,U.S.,2,pilot,2008,STS-122,306.0
"Poindexter, Alan G.",male,1961,U.S.,2,commander,2010,STS-131,363.0
"Melvin, Leland D.",male,1964,U.S.,2,MSP,2008,STS-122,306.0
"Melvin, Leland D.",male,1964,U.S.,2,MSP,2009,STS-129,259.0
"Love, Stanley G.",male,1965,U.S.,1,MSP,2008,STS-122,306.0
"Johnson, Gregory H.",male,1962,U.S.,2,pilot,2008,STS-123,378.0
"Johnson, Gregory H.",male,1962,U.S.,2,pilot,2011,STS-134,377.0
"Behnken, Robert L.",male,1970,U.S.,2,MSP,2008,STS-123,378.0
"Behnken, Robert L.",male,1970,U.S.,2,MSP,2010,STS-130,330.0
"Foreman, Michael J.",male,1957,U.S.,2,MSP,2008,STS-123,378.0
"Foreman, Michael J.",male,1957,U.S.,2,MSP,2009,STS-129,259.0
"Reisman, Garrett E.",male,1968,U.S.,2,flight engineer,2008,16,2289.0
"Reisman, Garrett E.",male,1968,U.S.,2,MSP,2010,STS-132,282.0
"Volkov, Sergei",male,1973,U.S.S.R/Russia,3,commander,2008,17,4768.0
"Volkov, Sergei",male,1973,U.S.S.R/Russia,3,commander,2011,28,4014.0
"Volkov, Sergei",male,1973,U.S.S.R/Russia,3,commander,2015,45,4003.0
"Kononenko, Oleg D.",male,1964,U.S.S.R/Russia,4,flight engineer,2008,17,3168.0
"Kononenko, Oleg D.",male,1964,U.S.S.R/Russia,4,commander,2011,30,4626.0
"Kononenko, Oleg D.",male,1964,U.S.S.R/Russia,4,commander,2015,44,3400.0
"Kononenko, Oleg D.",male,1964,U.S.S.R/Russia,4,commander,2018,57,4887.0
"Yi, Soyeon (Lee So-hyun)",female,1978,Korea,1,Other (Space tourist),2008,Soyuz TMA-12 / Soyuz TMA-11,261.0
"Ham, Kenneth T.",male,1964,U.S.,2,pilot,2008,STS-124,330.0
"Ham, Kenneth T.",male,1964,U.S.,2,commander,2010,STS-132,282.0
"Nyberg, Karen L.",female,1969,U.S.,2,MSP,2008,STS-124,330.0
"Nyberg, Karen L.",female,1969,U.S.,2,flight engineer,2013,36,3990.0
"Garan, Ronald J., Jr.",male,1961,U.S.,2,MSP,2008,STS-124,330.0
"Garan, Ronald J., Jr.",male,1961,U.S.,2,MSP,2008,27,3942.0
"Hoshide, Akihiko",male,1968,Japan,2,MSP,2008,STS-124,306.25
"Hoshide, Akihiko",male,1968,Japan,2,flight engineer,2012,32,3047.25
"Chamitoff, Gregory",male,1962,U.S.,2,flight engineer,2008,17,4392.5
"Chamitoff, Gregory",male,1962,U.S.,2,MSP,2011,STS-134,377.5
"Zhai, Zhigang",male,1966,China,1,commander,2008,Shenzhou 7,68.0
"Liu, Boming",male,1966,China,1,flight engineer,2008,Shenzhou 7,68.0
"Jing, Haipeng",male,1966,China,3,flight engineer,2008,Shenzhou 7,68.0
"Jing, Haipeng",male,1966,China,3,commander,2012,Shenzhou 9,303.5
"Jing, Haipeng",male,1966,China,3,commander,2016,Shenzhou 11,774.5
"Boe, Eric A.",male,1964,U.S.,2,pilot,2008,STS-126,380.0
"Boe, Eric A.",male,1964,U.S.,2,pilot,2011,STS-133,307.0
"Bowen, Stephen G.",male,1964,U.S.,3,MSP,2008,STS-126,380.0
"Bowen, Stephen G.",male,1964,U.S.,3,MSP,2010,STS-132,283.0
"Bowen, Stephen G.",male,1964,U.S.,3,MSP,2011,STS-133,307.0
"Kimbrough, Robert S.",male,1967,U.S.,2,MSP,2008,STS-126,380.0
"Kimbrough, Robert S.",male,1967,U.S.,2,flight engineer,2016,49,10383.25
"Antonelli, Dominic A.",male,1967,U.S.,2,pilot,2009,STS-119,287.5
"Antonelli, Dominic A.",male,1967,U.S.,2,pilot,2010,STS-132,281.5
"Acaba, Joseph M.",male,1967,U.S.,3,MSP,2009,STS-119,307.0
"Acaba, Joseph M.",male,1967,U.S.,3,flight engineer,2012,31,2928.0
"Acaba, Joseph M.",male,1967,U.S.,3,flight engineer,2017,53,4037.23
"Arnold, Richard R., II",male,1963,U.S.,2,MSP,2009,STS-119,307.0
"Arnold, Richard R., II",male,1963,U.S.,2,flight engineer,2018,55,4722.0
"Barratt, Michael R.",male,1959,U.S.,2,flight engineer,2009,19,4778.0
"Barratt, Michael R.",male,1959,U.S.,2,MSP,2011,STS-133,307.0
"Johnson, Gregory C.",male,1954,U.S.,1,pilot,2009,STS-125,309.63
"Good, Michael T.",male,1962,U.S.,2,MSP,2009,STS-125,309.0
"Good, Michael T.",male,1962,U.S.,2,MSP,2010,STS-132,282.15
"McArthur, K. Megan",female,1971,U.S.,1,MSP,2009,STS-125,309.0
"Feustel, Andrew J.",male,1965,U.S.,3,MSP,2009,STS-125,309.0
"Feustel, Andrew J.",male,1965,U.S.,3,MSP,2011,STS-134,378.0
"Feustel, Andrew J.",male,1965,U.S.,3,flight engineer,2018,55,4722.0
"Romanenko, Roman",male,1971,U.S.S.R/Russia,2,flight engineer,2009,20,4508.0
"Romanenko, Roman",male,1971,U.S.S.R/Russia,2,flight engineer,2012,34,3494.0
"Hurley, Douglas G.",male,1966,U.S.,2,pilot,2009,STS-127,377.0
"Hurley, Douglas G.",male,1966,U.S.,2,pilot,2011,STS-135,306.0
"Cassidy, Christopher J.",male,1970,U.S.,2,MSP,2009,STS-127,377.0
"Cassidy, Christopher J.",male,1970,U.S.,2,flight engineer,2013,35,3990.0
"Marshburn, Thomas H.",male,1960,U.S.,2,MSP,2009,STS-127,376.0
"Marshburn, Thomas H.",male,1960,U.S.,2,flight engineer,2013,34,3494.0
"Kopra, Timothy L.",male,1963,U.S.,2,MSP,2009,20,1317.0
"Kopra, Timothy L.",male,1963,U.S.,2,flight engineer,2015,46,1920.0
"Ford, Kevin A.",male,1960,U.S.,2,pilot,2009,STS-128,333.0
"Ford, Kevin A.",male,1960,U.S.,2,commander,2012,33,3448.0
"Hernandez, Jose M.",male,1962,U.S.,1,MSP,2009,STS-128,332.0
"Stott, Nicole P.",female,1962,U.S.,2,flight engineer,2009,20,1440.0
"Stott, Nicole P.",female,1962,U.S.,2,MSP,2011,STS-133,307.0
"Surayev, Maksim",male,1972,U.S.S.R/Russia,2,commander,2014,40,3968.0
"Surayev, Maksim",male,1972,U.S.S.R/Russia,2,commander,2009,21,4060.0
Guy Laliberte,male,1959,Canada,1,Other (Space tourist),2009,Soyuz TMA-16/14,261.28
"Wilmore, Barry E.",male,1962,U.S.,2,pilot,2009,STS-129,259.0
"Wilmore, Barry E.",male,1962,U.S.,2,flight engineer,2014,41,4013.0
"Bresnik, Randolph J.",male,1967,U.S.,2,MSP,2009,STS-129,259.0
"Bresnik, Randolph J.",male,1967,U.S.,2,flight engineer,2017,52,3328.93
"Satcher, Robert L.",male,1965,U.S.,1,MSP,2009,STS-129,259.0
"Creamer, Timothy J.",male,1959,U.S.,1,flight engineer,2009,22,3912.0
"Virts, Terry W., Jr.",male,1967,U.S.,2,pilot,2010,STS-130,330.1
"Virts, Terry W., Jr.",male,1967,U.S.,2,flight engineer,2014,42,4783.5
"Skvortsov, Aleksandr Jr.",male,1966,U.S.S.R/Russia,3,commander,2010,23,4225.0
"Skvortsov, Aleksandr Jr.",male,1966,U.S.S.R/Russia,3,commander,2014,39,4061.0
"Skvortsov, Aleksandr Jr.",male,1966,U.S.S.R/Russia,3,commander,2019,60,4302.98
"Korniyenko, Mikhail",male,1960,U.S.S.R/Russia,2,flight engineer,2010,23,4225.0
"Korniyenko, Mikhail",male,1960,U.S.S.R/Russia,2,flight engineer,2015,43,7798.0
"Dutton, James P.",male,1968,U.S.,1,pilot,2010,STS-131,362.0
"Metcalf-Lindenburger, Dorothy M.",female,1975,U.S.,1,MSP,2010,STS-131,362.0
"Yamazaki, Naoko",female,1970,Japan,1,MSP,2010,STS-131,362.8
"Walker, Shannon",female,1965,U.S.,1,flight engineer,2010,24,3919.18
"Skripochka, Oleg",male,1969,U.S.S.R/Russia,3,flight engineer,2010,25,3824.0
"Skripochka, Oleg",male,1969,U.S.S.R/Russia,3,flight engineer,2016,47,4131.77
"Skripochka, Oleg",male,1969,U.S.S.R/Russia,3,commander,2019,61,2697.53
"Kondratyev, Dmitri",male,1969,U.S.S.R/Russia,1,commander,2010,26,3823.0
"Samokutyayev, Aleksandr",male,1970,U.S.S.R/Russia,2,commander,2011,27,3941.0
"Samokutyayev, Aleksandr",male,1970,U.S.S.R/Russia,2,commander,2014,41,4013.0
"Borisenko, Andrei",male,1964,U.S.S.R/Russia,2,flight engineer,2011,27,3941.0
"Borisenko, Andrei",male,1964,U.S.S.R/Russia,2,flight engineer,2016,49,10383.25
"Furukawa, Satoshi",male,1964,Japan,1,flight engineer,2011,28,4014.0
"Shkaplerov, Anton",male,1972,U.S.S.R/Russia,3,commander,2011,29,3967.0
"Shkaplerov, Anton",male,1972,U.S.S.R/Russia,3,commander,2014,42,4792.0
"Shkaplerov, Anton",male,1972,U.S.S.R/Russia,3,commander,2017,54,4037.0
"Ivanishin, Anatoli",male,1969,U.S.S.R/Russia,2,commander,2011,29,3967.0
"Ivanishin, Anatoli",male,1969,U.S.S.R/Russia,2,flight engineer,2016,48,2762.0
"Revin, Sergei",male,1966,U.S.S.R/Russia,1,flight engineer,2012,31,2999.0
"Liu, Wang",male,1969,China,1,flight engineer,2012,Shenzhou 9,303.5
"Liu, Yang",female,1978,China,1,flight engineer,2012,Shenzhou 9,303.5
"Novitski, Oleg",male,1971,U.S.S.R/Russia,2,commander,2012,33,3448.0
"Novitski, Oleg",male,1971,U.S.S.R/Russia,2,commander,2016,50,4721.83
"Tarelkin, Yevgeni",male,1974,U.S.S.R/Russia,1,flight engineer,2012,33,3448.0
"Misurkin, Aleksandr",male,1977,U.S.S.R/Russia,2,flight engineer,2013,35,3990.25
"Misurkin, Aleksandr",male,1977,U.S.S.R/Russia,2,commander,2017,53,4037.25
"Parmitano, Luca",male,1976,Italy,2,flight engineer,2013,36,3990.28
"Zhang, Xiaoguang",male,1968,China,1,flight engineer,2013,Shenzhou 10,350.0
"Wang, Yapi",male,1980,China,1,flight engineer,2013,Shenzhou 10,350.0
"Ryazanski, Sergei",male,1974,U.S.S.R/Russia,2,flight engineer,2013,37,3990.0
"Ryazanski, Sergei",male,1974,U.S.S.R/Russia,2,commander,2017,52,3328.93
"Hopkins, Michael Scott",male,1968,U.S.,1,flight engineer,2013,37,3990.42
"Artemyev, Oleg",male,1970,U.S.S.R/Russia,2,flight engineer,2014,39,4062.0
"Artemyev, Oleg",male,1970,U.S.S.R/Russia,2,commander,2018,55,4722.0
"Wiseman, Gregory Reid",male,1975,U.S.,1,MSP,2014,40,3968.1
"Gerst, Alexander",male,1976,Germany,2,flight engineer,2014,40,3968.02
"Gerst, Alexander",male,1976,Germany,2,flight engineer,2018,56,4721.82
"Serova, Yelena",female,1976,U.S.S.R/Russia,1,flight engineer,2014,41,4013.0
"Cristofretti, Samantha",female,1977,Italy,1,flight engineer,2014,42,4783.5
"Yui, Kimiya",male,1970,Japan,1,flight engineer,2015,44,3400.0
"Lindgren, Kjell Norwood",male,1973,U.S.,1,flight engineer,2015,44,3400.15
"Mogensen, Andreas",male,1976,Denmark,1,flight engineer,2015,Soyuz TMA-18M/16M,236.23
Aidyn (Aydyn) Akanovich Aimbetov,male,1972,Kazakhstan,1,flight engineer,2015,Soyuz TMA-18M/16M,236.23
"Peake, Timothy Nigel",male,1972,U.K.,1,pilot,2015,46,4462.0
"Ovchinin, Aleksey",male,1971,U.S.S.R/Russia,3,commander,2016,47,4132.0
"Ovchinin, Aleksey",male,1971,U.S.S.R/Russia,3,commander,2019,57,0.0
"Ovchinin, Aleksey",male,1971,U.S.S.R/Russia,3,commander,2019,59,4863.75
"Onishi, Takuya",male,1975,Japan,1,flight engineer,2016,48,6902.35
"Rubins, Kathleen",female,1978,U.S.,1,flight engineer,2016,48,6902.35
"Chen, Dong",male,1978,China,1,flight engineer,2016,Shenzhou 11,774.5
"Ryzhikov, Sergey",male,1974,U.S.S.R/Russia,1,commander,2016,49,10383.25
"Pesquet, Thomas",male,1978,France,1,flight engineer,2016,50,4721.83
"Fischer, Jack",male,1974,U.S.,1,flight engineer,2017,51,3258.13
"Vande Hei, Mark",male,1966,U.S.,1,flight engineer,2017,53,4037.23
"Tingle, Scott",male,1965,U.S.,1,flight engineer,2017,54,4037.0
"Kanai, Norishige",male,1976,Japan,1,flight engineer,2017,54,4037.0
"Prokopyev, Sergei",male,1975,U.S.S.R/Russia,1,commander,2018,56,4722.0
"Aun-Chancellor, Serena",female,1976,U.S.,1,flight engineer,2018,56,4722.0
"Hague, Tyler",male,1975,U.S.,2,flight engineer,2018,57,0.0
"Hague, Tyler",male,1975,U.S.,2,flight engineer,2019,59,4864.0
"Saint-Jaques, David",male,1970,Canada,1,flight engineer,2018,57,4887.0
"McClain, Anne Charlotte",female,1979,U.S.,1,flight engineer,2018,57,4887.0
"Koch, Christina",female,1979,U.S.,1,flight engineer,2019,59,7372.3
"Morgan, Andrew",male,1976,U.S.,1,flight engineer,2019,60,4303.08
"Meir, Jessica",female,1977,U.S.,1,flight engineer,2019,60,2697.6
"Al Mansoori, Hazzaa",male,1983,UAE,1,spaceflight participant,2019,EP-19,189.0
